CODE,NAME,ADDRESS1,ADDRESS2,POST CODE,CITY,TEL,MOBILE
10568,3BROS FOOD SERVICE,UNIT1. ALLEN HOUSE,NEW SPITAFIELDS MARKET,E10 5SQ,LEYT ON,,
10326,7 BROTHERS FOOD CENTER,72 HIGH RD,,N15 6JJ,LOND ON,,
10305,ABS MARKET LTD (FOOD&WINE),845 FOREST RD,,E17 4AT,LOND ON,,
10532,ADA FOOD CENTRE,36-38 CAMBRIDGE RD,, KT1 3JY, KIN GSTON UPON THAMES,,7539497688
10297,AHMED FOOD STORE,2 ST ETHELBERT AVENUE,,LU3 1QH,LUTO N,,
10576,AHMET ERDAL - FIRAT,,,, ,,
10504,AKBAR ALI,55 ANSELM ROAD,,SW6 1LH,LOND ON,,
10395,AKDENIZ CHINGFORD (SELAN LTD),38-40 OLD CHURCH ROAD,,E4 8DB,CHIN GFORD,,
10047,AKDENIZ STOKE NEWINGTON,62-64 STOKE NEWINGTON HIGH ST,,N16 7PB,LOND ON,7554594459,
10219,AKDENIZ SUPERMARKET-ENFIELD,463-465 HERTFORD RD,,EN3 5UT,LOND ON,,07881 812035
10396,AKDENIZ WALTHAMSTOW (MEDITERRANIAN LTD SW),147-149 HOE STREET,,E17 3AL,LOND ON,,
10052,AKSU FOOD CENTRE,53 WATLING AVE. BURNT OAK,EDGWARE,HA8 0LD,LOND ON,020 8951 4979,
10518,AKSU FOOD CENTRE,655 GREEN LANES,,N8 0QY,LOND ON,,7449925522
10181,AKSU FOOD CENTRE-EDMONTON,10-12 CHURCH ST,,N9 9DX,LOND ON,,
10048,AKSU MARKET,182 PHILIP LN,,N15 4JW,LOND ON,,
10463,AKSULAR ENFIELD TOWN,8-10 SILVER STREET,,EN1 3ED,LOND ON,,
,AKSULAR RESTAURANT,232. 234 GREEN LANES,, N13 5UD,LOND ON,,
10616,ALA FOODS LTD,UNIT B28. HASTINGWOOD TRADING ESTATE,35 HARBET RD,N18 3HT,LOND ON,,
10390,ALA WHOLESALE LTD,OFFICE 5 36 QUEENSWAY,,EN2 9BH,ENFI ELD,,
10013,ALAGOZ (UK) LIMITED,16 WOODGRANGE RD,,E7 0EW,LOND ON,7860480762,
10277,ALIM FOOD LTD, 111 KETTERING RD,,NN1 4AZ,NORT HAMPTON,,
10442,ALMYS SUPERMARKET & HALAL MEAT, 8-9 LEES PARADE,UXBRIDGE,UB10 0PQ, ,,
10509,ALPASHA SUPERMARKET,428-430 HIGH RD,,HA9 6AH,WEMB LEY,,7445536849
10425,ALSULTAN MARKET LTD,241 NEASDEN LANE,,NW10 1QG,LOND ON,,
10253,ALTIS FOODSERVICE,14-20 PATERSON RD,FINEDON ROAD INDUSTRIAL ESTATE,NN8 4AJ,WELL INGBOROUGH,,
10524,AMAZON CUSTOMER,,,, ,,
10418,ANGEL SUSHI LIMITED,13 UPPER STREET,,N1 0PQ,LOND ON,,
10028,ANTEP MUTFAGI,,,N4 1EU,LOND ON,7506 711376,
