Code,Description,Qty,Size,Price [C],VAT,UNIT1,UNIT2
105095,HOT CHICKEN RAMEN MULTI,8,140GRX5,37.99,0,PCS,BOX
106936,DOUBLE SPICY HOT CHICKEN RAMEN MULTI,8,140GRX5,37.99,0,PCS,BOX
107453,ZZAL DDUCK SNACK,24,120GR,28.99,0,PCS,BOX
107766,HOT CHICKEN FLAVOUR RICE CAKE,16,185GR,34.99,0,PCS,BOX
107928,KIMCHI HOT CHICKEN RAMEN,8,135GRX5,37.99,0,PCS,BOX
107982,EXTREME BULDAK SAUCE,24,200GR,39.99,0,PCS,BOX
108674,HOT CHICKEN RAMEN HABANERO LIME(M),8,135GRX5,37.99,0,PCS,BOX
108842,HOT CHICKEN RAMEN HABANERO LIME BIG BOWL,16,110GR,27.99,0,PCS,BOX
20001,VELDA GREEN JALAPENO PICKLES PM1.39,6,720ML,5.39,0,PCS,BOX
20005,VELDA GREEN JALAPENO PICKLE,6,1700ML,13.99,0,PCS,BOX
20010,VELDA HOT BABY PEPPER PICKLE PM1.59,6,720ML,5.99,0,PCS,BOX
20015,VELDA HOT BABY PEPPER PICKLE,6,1700ML,13.99,0,PCS,BOX
20020,VELDA HOT PEPPER PICKLE PM1.59,6,720ML,5.99,0,PCS,BOX
20025,VELDA HOT PEPPER PICKLE,6,1700ML,13.99,0,PCS,BOX
20031,VELDA MIXED VEGETABLE PICKLE PM1.19,12,720ML,9.49,0,PCS,BOX
20038,VELDA MIXED VEGETABLE PICKLE,4,4LT,12.8,0,PCS,BOX
20043,VELDA CUCUMBER PICKLE (CORNISHON) SIZE:0 PM1.99,12,720ML,15.49,0,PCS,BOX
20044,VELDA CUCUMBER PICKLE (CORNISHON) SIZE:2 PM1.29,12,720ML,9.99,0,PCS,BOX
20063,VELDA SMOOTH CUCUMBER PICKLES SIZE:1 PM 1.99,12,720ML,15.99,0,PCS,BOX
20065,VELDA SMOOTH CUCUMBER PICKLES SIZE:2 PM3.49,6,1700ML,13.99,0,PCS,BOX
20091,VELDA LOMBARDI PEPPER PICKLES PM1.49,12,720ML,11.99,0,PCS,BOX
201008,NESTLE DAMAK ALA CHOCO WAFER PISTACHIO,12,30GR,7.99,20,PCS,PACK
201009,NESTLE DAMAK FINE CHOCOLATE PISTACHIO,6,60GR,5.99,20,UNIT,BOX
20101,VELDA RED CHILLI PEPPER PICKLES PM1.79,12,720ML,14.49,0,PCS,BOX
201010,NESTLE DAMAK BAKLAVA,6,60GR,5.99,20,UNIT,BOX
201012,NESTLE DAMAK DARK CHOCOLATE,6,60GR,5.99,20,UNIT,BOX
201013,NESTLE DAMAK WHITE CHOCOLATE PISTACHIO,6,60GR,5.99,20,UNIT,BOX
201016,NESTLE NESQUIK WAFER,30,26.7GR,8.49,20,UNIT,BOX
201020,NESTLE 1927 HAZELNUT WAFER,12,31GR,4.49,20,UNIT,BOX
201021,NESTLE 1927 MILKY WAFER,12,28GR,4.49,20,UNIT,BOX
201022,NESTLE 1927 BITTER WAFER,12,28GR,4.49,20,UNIT,BOX
201023,NESTLE CRUNCH WAFER,30,30GR,8.49,20,UNIT,BOX
201025,NESTLE CRUNCH WAFER PM,20,17GR X 5,18.49,20,UNIT,BOX
201026,NESTLE NESQUICK WAFER,20,19GR X 5,18.49,20,PACK,BOX
201033,NESTLE DAMAK CARAMEL CROQUANT,6,60GR,5.99,20,UNIT,BOX
201034,NESTLE DAMAK TURKISH DELIGHT,6,60GR,5.99,20,UNIT,BOX
20111,VELDA FRENK PEPPER PICKLES PM1.59,12,720ML,12.49,0,PCS,BOX
20121,VELDA GIARDINIERA PICKLE PM1.49,12,720ML,11.99,0,PCS,BOX
20141,VELDA CABBAGE PICKLE PM1.29,12,720ML,9.99,0,PCS,BOX
20201,VELDA ROASTED AUBERGINE PM1.29,6,580ML,5.1,0,PCS,BOX
20202,VELDA ROASTED AUBERGINE PM1.49,6,720ML,5.99,0,PCS,BOX
20204,VELDA ROASTED AUBERGINE PM1.49,12,720ML,11.99,20,PCS,BOX
20205,VELDA ROASTED EGGPLANT JAR,3,2650ML,9,0,PCS,BOX
20209,ROASTED AUBERGINE,6,A10 TIN,0,0,UNIT,BOX
20227,VELDA ROASTED RED PEPPER PM1.99,12,720ML,15.6,0,PCS,BOX
20331,VELDA GREEK PEPPER TURSU TIN 14KG (5KG NET),1,14KG,9.99,0,UNIT,BOX
20501,VELDA LEMON DRESSING,20,500ML,8.99,0,PCS,BOX
30001,OLEA BLACK OLIVES IN SAUCE-VACUUM (SIYAH SOSLU),16,150GR,15.99,0,PCS,BOX
30005,OLEA BLACK OLIVES IN OIL-VACUUM (YAGLI SELE),16,150GR,15.99,0,PCS,BOX
30009,OLEA BLACK OLIVES IN OIL LOW SALT-VACUUM (AZ TUZLU),16,150GR,15.99,0,PCS,BOX
30010,OLEA BLACK OLIVES IN SAUCE-VACUUM (SIYAH SOSLU),20,300GR,24.99,0,PCS,BOX
30015,OLEA BLACK OLIVES IN OIL-VACUUM (YAGLI SELE),20,300GR,24.99,0,PCS,BOX
30020,OLEA STUFFED GREEN OLIVES-VACUUM (BIBERLI),16,150GR,15.99,0,PCS,BOX
30025,OLEA STUFFED GREEN OLIVES IN SAUCE-VACUUM (BIBERLI SOSLU),16,150GR,15.99,0,PCS,BOX
30030,OLEA STUFFED GREEN OLIVES-VACUUM (BIBERLI),20,300GR,34.99,0,PCS,BOX
30040,OLEA SCRATCHED GREEN OLIVES-VACUUM (CIZIK),16,150GR,15.99,0,PCS,BOX
