Category,Name,Code,Pallet Price,CNT Price,Case Size,PLY,Perf Length (mm),Roll Width (mm),Number of Sheets,Roll Diameter (mm),GSM,Roll Weight (g),Core Weight (g),Color,Fragrance,Pallet Count
Bathroom Tissues,PANDA CUDDLE TT 2 PLY 4x10 Classic,TT-1009,6.00,6.60,4x10,2,110,100,150,110,14.5/ 15,48,6.5,WHITE,NO,55
Bathroom Tissues,PANDA CUDDLE TT 2 PLY 4x10 Aloe Vera,TT-1008,6.00,6.60,4x10,2,110,100,150,110,14.5/ 15,48,6.5,WHITE,YES,55
Bathroom Tissues,PANDA CUDDLE TT 2 PLY 18X2 Classic,TT-1007,4.75,5.23,18x2,2,110,100,150,110,14.5/ 15,71,6.5,WHITE,NO,56
Bathroom Tissues,PANDA CUDDLE TT 3 PLY 4x10 Classic,TT-1011,6.76,7.44,4x10,3,110,103,148,115,14.5/ 15,71,6.5,WHITE,NO,55
Bathroom Tissues,PANDA CUDDLE TT 3 PLY 9x5 Classic,TT-1038,6.75,7.43,9x5,3,110,103,148,115,14.5/ 15,73,6.5,WHITE,NO,56
Bathroom Tissues,PANDA CUDDLE TT 3 PLY 9x5 Aloe Vera,TT-1039,6.75,7.43,9x5,3,110,103,148,115,14.5/ 15,73,6.5,WHITE,YES,56
Bathroom Tissues,PANDA CUDDLE TT 3 PLY 9x5 Lemon,TT-1037,6.75,7.43,9x5,3,110,103,148,115,14.5/ 15,73,6.5,WHITE,YES,56
Bathroom Tissues,SOFTESSE ULTRA 3 PLY 9X5 Classic,TOI-8011A,6.50,7.15,9x5,3,110,103,148,115,14.5/ 15,73,6.5,WHITE,NO,56
Kitchen Towels,PANDA GLORY SUPER SOAKER KT 4X6,KIT-806,4.00,4.40,4x6,2,200,205,50,105,17/ 17.5,67,13.2,WHITE,NO,55
Kitchen Towels,PANDA GLORY MEGA KT 1X6,KT-2009,4.00,4.40,1x6,2,200,220,150,155,17/ 17.5,223,14.2,WHITE,NO,80
Kitchen Towels,PANDA GIANT KITCHEN TOWEL 18PK 3PLY,KIT-811,8.75,9.63,1x18,3,,,,,,,,WHITE,NO,50
Bathroom Tissues,EVO 3PLY 120 PACK 3X40,23011,16.00,17.60,3X40,3,,,,,,,,WHITE,NO,
Bathroom Tissues,EVO 3 PLY 32 PACK,23012,13.50,14.85,3X32,3,,,,,,,,WHITE,NO,
Bathroom Tissues,STEP GREEN RECYCLED 120 ROLLS 3X40,23010,15.50,17.05,3X40,2,,,,,,,,WHITE,NO,
Kitchen Towels,EVO 3 PLY 6 ROLLS,23000,6.00,6.60,,2,,,,,,,,WHITE,NO,
Kitchen Towels,EVO 3 PLY 12 ROLLS,23001,10.00,11.00,,3,,,,,,,,WHITE,NO,
Kitchen Towels,STEP SMALL MOTION TOWEL,23100,10.80,11.88,,,,,,,,,,WHITE,NO,
Kitchen Towels,ONLY - MINI JUMBO WHITE TOILET PAPER 4.5KG,23101,9.50,10.45,,,,,,,,,,WHITE,NO,
Kitchen Towels,LONG SMALL MOTION TOWEL 4KG,23102,8.50,9.35,,,,,,,,,,WHITE,NO,
Kitchen Towels,ONLY CENTREFEED TOWEL 1PLY 250MT,23103,9.50,10.45,,,,,,,,,,WHITE,NO,
Serviettes,AQUA - SERVIETTE BLUE 200 SHEETS 30X30,23061,6.90,7.59,9X200,,,,,,,,,BLUE,NO,
Serviettes,AQUA - SERVIETTE WHITE 200 SHEETS 30X30,23051,6.90,7.59,9X200,,,,,,,,,WHITE,NO,
Serviettes,ONLY - KOALA FACIAL TISSUE 250 SHEETS,23050,18.50,20.35,,,,,,,,,,WHITE,NO,
Serviettes,ONLY SERVIETTE 33X33 WAITER FOLD NAPKIN,23203,11.30,12.43,,,,,,,,,,WHITE,NO,
Serviettes,DROP - Z FOLD DISPENSER TOWEL,23201,9.25,10.18,,,,,,,,,,WHITE,NO,
Serviettes,ONLY PLUS - Z FOLD DISPENSER TOWEL,23200,10.80,11.88,,,,,,,,,,WHITE,NO,
Serviettes,ONLY STANDARD 250 ROLL DISPENSER NAPKIN,23202,9.10,10.01,,,,,,,,,,WHITE,NO,
Industrial Towels,HYGIENE - ECO CENTREFEED TOWEL ROLL - BLUE 40M,AFH-4009,3.20,3.52,6,2,175,178,229,175,17/17.5,242,13.5,BLUE,NO,91
Industrial Towels,HYGIENE - ECO CENTREFEED TOWEL ROLL - BLUE 50M,AFH-4003,3.50,3.85,6,2,175,178,263,175,17/17.5,278,13.5,BLUE,NO,91
Industrial Towels,HYGIENE - PREMIUM CENTREFEED TOWEL ROLL- BLUE 120M,AFH-4002,7.00,7.70,6,2,175,178,571,175,17/17.5,605,13.5,BLUE,NO,84
Industrial Towels,HYGIENE - ECO CENTREFEED TOWEL ROLL - WHITE 40MT,AFH-4031,3.40,3.74,6,2,175,178,263,175,17/17.5,278,13.5,R.WHITE,NO,91
Industrial Towels,HYGIENE - ECO CENTREFEED TOWEL ROLL - WHITE - 50M,AFH-4005,3.75,4.13,6,2,175,178,263,175,17/17.5,278,13.5,WHITE,NO,91
Industrial Towels,HYGIENE - PREMIUM CENTREFEED TOWEL ROLL -WHITE 120M,AFH-4011,7.75,8.53,6,2,175,178,571,175,17/17.5,605,13.5,WHITE,NO,84
Industrial Towels,MODERN ECO SERVIETTE 28x28cm,SERV.3002,12.50,13.75,10,1,,,5000,,16/16.5,586,,WHITE,NO,42
Serviette,MODERN ECO PLAIN SERVIETTE 10PK 28x28cm,SERV.3005,12.50,13.75,10,1,,,5000,,,,,WHITE,NO,42
Serviette,MODERN LUXURY SERVIETTE 40x40cm 1/8 FOLD (8 Pack x 125pcs),SERV.3004,18.50,20.35,,1,,,2000,,,,,WHITE,NO,30
Serviette,MODERN LUXURY SERVIETTE 40x40cm 1/4 FOLD (8 Pack x 125pcs),SERV.3003,18.50,20.35,,1,,,2000,,,,,WHITE,NO,30
Serviette, 23MU SHRINK WRAP 6X1 400MM - PALLET WRAP CLEAR,,17.40,19.14,6,,,,,,,,,,,60
Serviette, 23MU SHRINK WRAP 6X1 400MM - PALLET WRAP BLACK,,18.00,19.80,6,,,,,,,,,,,60
Serviette,15MU MINI HAND ROLL - CLEAR,,18.00,19.80,40,,,,,,,,,,,60
Serviette,17MU MINI HAND ROLL - CLEAR,,19.20,21.12,40,,,,,,,,,,,60
Serviette,MACHINE WRAP 23MU - 16KG CLEAR,,21.50,23.65,46,,,,,,,736 KG 1 PALLET,,,16KG EACH,
Serviette,CLEAR TAPE 48mmX66mm 1X6,,2.20,2.42,6,,,,,,,,,,,
